Date,Activity Name,isWebBrowser,Website,Start Time,End Time,Total Time(h:m:s)
2019-09-10,Visual Studio Code,0,-,2019-09-10 11:02:13.491349,2019-09-10 11:02:14.567114,0:00:01.075765
2019-09-10,Task Switching,0,-,2019-09-10 11:02:14.567114,2019-09-10 11:02:14.618601,0:00:00.051487
2019-09-10,Google Chrome,1,journaldev.com,2019-09-10 11:02:14.618601,2019-09-10 11:02:16.630439,0:00:02.011838
2019-09-10,Google Chrome,1,youtube.com,2019-09-10 11:02:16.630439,2019-09-10 11:02:36.047209,0:00:19.416770
2019-09-10,Task Switching,0,-,2019-09-10 11:02:36.047209,2019-09-10 11:02:36.322035,0:00:00.274826
2019-09-10,Visual Studio Code,0,-,2019-09-10 11:10:44.069942,2019-09-10 11:10:57.074737,0:00:13.004795
2019-09-10,Visual Studio Code,0,-,2019-09-10 15:40:06.761913,2019-09-10 15:40:33.237442,0:00:26.475529
2019-09-10,Task Switching,0,-,2019-09-10 15:40:33.237442,2019-09-10 15:40:33.290304,0:00:00.052862
2019-09-10,Google Chrome,1,localhost:8888,2019-09-10 15:40:33.290304,2019-09-10 15:40:34.992021,0:00:01.701717
2019-09-10,Task Switching,0,-,2019-09-10 15:40:34.992021,2019-09-10 15:40:35.068500,0:00:00.076479
2019-09-10,Visual Studio Code,0,-,2019-09-10 15:40:35.068500,2019-09-10 15:41:26.572575,0:00:51.504075
2019-09-10,Task Switching,0,-,2019-09-10 15:41:26.572575,2019-09-10 15:41:26.670659,0:00:00.098084
2019-09-10,Visual Studio Code,0,-,2019-09-10 15:41:26.670659,2019-09-10 15:43:22.201946,0:01:55.531287
2019-09-10,Task Switching,0,-,2019-09-10 15:43:22.201946,2019-09-10 15:43:22.376202,0:00:00.174256
2019-09-10,Visual Studio Code,0,-,2019-09-10 15:43:22.376202,2019-09-10 15:43:23.342894,0:00:00.966692
2019-09-10,Task Switching,0,-,2019-09-10 15:43:23.342894,2019-09-10 15:43:24.432531,0:00:01.089637
2019-09-10,Google Chrome,1,localhost:8888,2019-09-10 15:43:24.432531,2019-09-10 15:43:31.458285,0:00:07.025754
2019-09-10,Google Chrome,1,google.com,2019-09-10 15:43:31.458285,2019-09-10 15:43:37.003542,0:00:05.545257
2019-09-10,Google Chrome,1,datatofish.com,2019-09-10 15:43:37.003542,2019-09-10 15:43:41.217769,0:00:04.214227
2019-09-10,Google Chrome,1,geeksforgeeks.org,2019-09-10 15:43:41.217769,2019-09-10 15:43:47.624125,0:00:06.406356
2019-09-10,Google Chrome,1,youtube.com,2019-09-10 15:43:47.624125,2019-09-10 15:43:50.865683,0:00:03.241558
2019-09-10,Task Switching,0,-,2019-09-10 15:43:50.865683,2019-09-10 15:43:52.545998,0:00:01.680315
2019-09-10,Visual Studio Code,0,-,2019-09-10 15:43:52.545998,2019-09-10 15:44:01.034723,0:00:08.488725
2019-09-10,Visual Studio Code,0,-,2019-09-10 16:42:45.826825,2019-09-10 16:43:15.579306,0:00:29.752481
2019-09-10,Visual Studio Code,0,-,2019-09-10 16:46:35.334633,2019-09-10 16:46:40.673436,0:00:05.338803
2019-09-10,Visual Studio Code,0,-,2019-09-10 16:52:35.356568,2019-09-10 16:52:38.119319,0:00:02.762751
2019-09-10,Cortana,0,-,2019-09-10 16:52:38.119319,2019-09-10 16:52:38.430333,0:00:00.311014
2019-09-10,Visual Studio Code,0,-,2019-09-10 16:52:38.430333,2019-09-10 16:52:39.228158,0:00:00.797825
2019-09-10,Cortana,0,-,2019-09-10 16:52:39.228158,2019-09-10 16:52:43.179173,0:00:03.951015
2019-09-10,Visual Studio Code,0,-,2019-09-10 16:52:43.179173,2019-09-10 16:52:48.116502,0:00:04.937329
